,ID,DDE,Apli_Event,Index,Sow_Area,ModNamProd,Fert_Quant,Unit,Other_uni,Equiv_uni,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,Fert,Fert_type,Fert_type2,Qtity_L_ha,Qtity_Kl_ha,Location_1,Location_2,Variety,,,
185,DS4027,18,2,3,9,Patentkali,0.5,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,11,4,,,
187,DS4027,30,3,2,9,Cloruro de Potasio,0.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,11,4,,,
188,DS4027,30,3,3,9,Patentkali,0.5,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,11,4,,,
329,DS4045,65,4,1,7.5,Cloruro de Potasio,0.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,2,1,,,
352,DS4047,40,3,3,5,Fertilizante menores,1,5,NA,25,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,2,7,,,
388,DS4051,10,1,3,8,Urea,0.5,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,3,1,,,
415,DS4054,36,3,2,6,Sulfato de amonio 21-0-0-24,0.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,15,1,,,
416,DS4054,36,3,3,6,Cloruro de Potasio,0.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,15,1,,,
465,DS4058,60,4,3,10,Sulfato de amonio 21-0-0-24,0.5,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,10,1,,,
535,ES1012,5,1,2,3.5,Sulfato de amonio 21-0-0-24,1,5,NA,25,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,5,18,,,
672,ES1033,70,3,1,5,Cloruro de Potasio,0.5,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,9,1,,,
699,ES1036,12,1,3,6,DAP 18-46-0,0.5,5,NA,50,0,18,18,0,0,46,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,25,1,9,1,,,
